,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2019年7月,3634090,415040,546750,925320,321510,471710,1059000,503810,828470,736270,451420,2550460,6779110,1989920,941900,327220,739930,371370,883560,1670430,585210,2057960,1684860,748530,433930,2464370,4181610,1216770,233290,489980,248510,286320,445830,942230,287410,209720,393090,364170,238330,1730190,234120,578790,619800,600990,383320,704820,3269120
2019年8月,3916250,523100,697840,1139710,414440,611210,1332150,699950,1184080,1104190,524750,3022100,7066900,2486010,1441510,456830,1009200,574600,1321380,2680320,793840,2961990,1890510,1025970,633320,2714820,4570020,1621420,298450,686040,325410,379520,597310,1148430,391350,289220,540650,466490,347870,1876270,272130,752050,830840,792010,455870,842010,3523720
2019年9月,3247260,429800,496120,902760,354830,473740,1025740,531120,867390,707300,440340,2379900,6596800,1997450,883260,356880,782580,364880,778640,1523160,607420,1893550,1519660,622460,410090,2455280,3768840,1120280,218760,416690,229230,299070,448940,977150,289870,206710,405490,343930,223690,1602270,215940,527720,595300,573450,318170,623520,2707780
2019年10月,3046530,479260,555070,959300,358250,484000,1084710,526020,822620,654630,433940,2335030,6932910,1900840,895440,351120,794340,308520,651530,1308950,600670,1699820,1532250,674640,393210,2777070,3975350,1112570,230770,417770,241690,349190,524450,1114930,319550,241110,466600,394710,243410,1860600,221860,607900,676470,707730,367260,704810,2713450
2019年11月,2458660,370380,494120,988170,295780,447000,1062660,518500,862380,704630,463550,2387550,6697010,1958790,835760,331730,834610,361760,712380,1188470,608540,1934150,1664580,744950,448960,2826280,3997170,1213670,256320,497460,277740,362060,518080,1010940,331130,236140,427490,423560,262330,1777830,237760,626230,707160,720460,388170,724790,2461550
2019年12月,2876320,304350,460110,916790,232300,407900,963700,522700,696310,669350,462550,2547300,7028940,1989460,791750,264300,692830,324300,574120,1176120,559290,1830070,1618120,655020,357640,2387820,3949260,1152690,192130,385630,226180,272250,439280,853250,275670,185380,339630,335910,196370,1640550,202960,544960,597310,613270,333460,630250,2454120
2020年1月,3378400,333500,481700,742170,277700,398480,1018740,434300,632040,662520,396490,2223690,7048680,1881630,957170,247940,645770,251680,597620,1693900,617850,1719880,1705980,565440,281450,2248670,4443350,1062120,149290,354950,205880,229290,410570,736300,301520,154620,283630,328380,192870,1725970,221650,506850,582140,601220,359010,583250,2085670
2020年2月,2767720,316860,446660,737960,270860,413890,1012260,465770,599540,655580,365410,1811020,5547120,1597560,901100,247350,602270,267760,505340,1571240,524090,1559500,1420290,505530,255520,1788120,3131050,964940,116010,305270,208940,228540,398160,726400,314350,149130,273260,325690,215500,1545480,197990,503850,530960,552190,383100,598830,1990520
2020年3月,1107160,252680,317850,539300,195520,289000,811880,370660,503780,472380,306310,797150,2890790,1296260,514490,180040,443810,204490,315950,826180,377440,1219750,736890,398030,216450,1194980,1493920,734110,96630,240180,177450,229740,331910,546730,242010,113810,222040,267190,156880,913840,159610,331870,384340,434720,227640,457510,1310380
2020年4月,664940,119170,163620,242140,77830,96650,476980,210510,180160,143630,171850,441380,1365240,585550,227070,71000,123800,91980,104540,241530,131030,461070,402480,144930,92890,294180,672150,266240,42470,90090,79300,91430,156650,265140,108880,45270,75980,100100,60340,291780,66440,130690,148750,133390,112810,183190,360660
2020年5月,529310,110930,138800,206100,51500,69240,412260,218180,147830,102080,158840,406080,1228800,535340,178540,53270,87710,100440,86280,163750,125850,385770,373210,119740,83210,229640,484290,251210,37250,68290,49990,68380,132180,209370,100660,32980,56040,82240,43430,234980,38290,109410,118120,127620,86440,121120,171200
2020年6月,943550,192700,242170,352290,112600,178900,569960,305770,290960,264430,220260,563080,1902800,807050,369310,115290,205670,135310,147220,423340,229370,670620,598430,227700,128480,517280,854850,435280,70990,142950,99720,129260,217810,343930,161410,71530,110800,145340,92230,427280,78510,231670,227360,250980,162410,256710,554090
2020年7月,1737680,279080,355780,492040,220200,271110,745850,321830,472030,510850,234950,870870,2097350,1020630,526950,170850,392370,223130,278950,751720,310360,1049910,802740,374180,194530,766590,1059480,654850,106820,272550,175060,192270,307340,535430,227800,120280,213610,232500,164040,693350,122690,393640,367760,325990,228680,334900,1186080
