,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2009年4月,1272220,248700,278380,466540,204270,254810,516530,212230,439430,394260,238290,1205640,2891170,883930,442840,182710,370820,138920,344410,665940,265250,1007220,751180,378850,228330,772920,1325790,638780,109300,251760,163360,168570,300330,408560,226330,98160,162780,190060,139340,622870,145470,295430,356090,305230,169310,338960,939170
2009年5月,1978280,324300,349480,572670,261950,318380,581750,220600,548550,479320,237140,1216610,2875220,927750,592710,240900,462620,160710,348860,860270,304210,1085560,773320,426920,205100,701810,1139300,613140,98240,277470,211720,204820,317060,441030,266810,106070,175850,208730,174060,756100,181100,413210,445860,360130,211020,418830,911150
2009年6月,2151730,310460,327930,531930,270010,351280,572470,197970,501910,416800,201900,1042470,2566040,834150,519440,193860,395720,142450,277940,637370,254120,903860,708080,353910,149110,516700,989430,542230,60860,202840,156850,173720,262930,375080,208490,82310,142090,159820,137180,602130,136180,295340,325100,277300,161250,313530,862170
2009年7月,2481220,335130,349270,542530,262900,337270,595360,255290,593900,512590,248010,1331350,2929740,937840,635090,218910,442300,177940,360420,891540,304710,1110420,782420,475900,197300,647490,1331620,679040,87360,310860,186570,183060,291750,391380,215870,103870,181140,191130,148650,767060,146020,327270,404280,317400,192570,392490,1075080
2009年8月,2853830,431460,499120,723620,336090,435910,781180,343850,774570,714010,285730,1751150,3227990,1208270,908480,298660,625710,278640,521090,1407350,419060,1630560,897500,659610,299400,822730,1613950,956730,128000,487000,273980,230200,377300,538700,288000,138970,252170,249100,216330,898820,180180,483740,583510,452940,257060,485310,1291230
2009年9月,2559420,379980,389580,578570,294940,358520,596090,222650,600470,529040,241640,1279780,2863460,958350,671540,258050,494920,174660,366550,874370,325970,1028620,787570,451700,211110,799550,1327470,685640,95620,284200,204770,191700,315920,445680,223260,104480,187980,222720,169950,794140,158260,350710,469320,351310,191170,382590,1040950
2009年10月,2220130,398490,394680,634840,313140,390700,677070,230480,669560,547570,251490,1298940,2949730,988540,699800,269210,523500,181480,349770,867180,347320,1035680,829490,423370,231110,843150,1378060,702440,118540,237620,207550,209480,328760,456650,246750,105820,196550,224870,146640,754980,168600,395980,451850,352870,214730,387450,949820
2009年11月,1630130,256460,344820,566810,223370,324620,616500,234370,618660,502500,242380,1210270,2809670,990910,567800,224830,534030,208520,340440,678840,332390,1134090,812600,446390,257830,886850,1413040,717860,130190,257980,224920,218900,324390,458460,258940,103480,208930,229460,157500,785200,183040,372300,460220,407310,207530,412210,830740
2009年12月,1774230,201350,294800,515810,169480,285070,527950,243890,492460,448200,233870,1311590,2907060,957660,464950,173640,422390,187350,276430,644260,252700,1057300,780910,387120,187350,686470,1426860,713730,76980,223310,188610,165540,272630,355860,215310,86750,159130,175050,122050,729690,151570,312080,368010,342380,174820,344250,827320
2010年1月,1836130,212550,314040,478530,226170,321650,619550,264970,585680,497160,235240,1348320,3144700,1062670,606910,170040,434570,176630,327110,1061650,306170,1169410,843650,419510,196380,698330,1434480,763920,70290,266470,169740,140650,266690,460300,228330,95100,172940,205860,158030,885980,152850,307940,361700,399660,206000,402050,909430
2010年2月,2036960,225260,316940,495840,224470,340240,608430,262550,546850,526070,240790,1434400,3379660,1122020,636200,182490,473850,187640,337370,994940,338160,1258020,869310,385270,194460,735590,1481270,764130,77030,266150,184440,138990,256010,495890,226430,94480,184770,208870,183650,969690,155420,389960,374660,403260,265750,425620,1041880
2010年3月,1842270,235200,337310,580030,259950,350200,673340,372950,731490,603300,300700,1864010,3894840,1380730,646510,202920,527030,208680,457630,1001020,376370,1531170,1036830,520830,296620,1056390,1880690,955670,152120,378520,199310,183350,369010,659150,307550,144570,249640,280740,247640,1108230,167650,468190,488040,492750,268660,498400,1223350
2010年4月,1178160,237960,314860,503850,207000,269320,564800,271970,573340,453260,264340,1426460,3533450,1064300,477820,199290,419910,140090,410440,734990,352060,1137840,956020,378290,278130,1087950,1621540,759870,167550,241750,152620,174940,294750,574070,241750,116810,195230,229900,187370,841880,162970,390090,390140,384700,173750,379190,986470
2010年5月,1815710,324120,370490,601370,279150,328020,621780,301370,741570,551490,272760,1493320,3471650,1149880,604110,255970,516070,161400,415640,931070,384380,1246380,1007690,436220,301020,1185590,1598490,841850,205080,273140,180450,204910,325850,648900,287010,122650,214300,256550,219170,998170,180740,488700,486560,428100,202370,466320,995530
2010年6月,1988870,318910,334040,583310,272920,371230,604980,279900,686610,478130,242840,1338870,3204090,1000010,541690,190750,446000,144530,349650,741450,322230,1046660,903650,347050,236180,993850,1420760,713100,162120,210200,151770,175220,256960,540030,227840,95500,166250,210940,173890,840900,137950,352930,349880,327490,143440,341820,908360
2010年7月,2400790,341120,358130,629160,295190,382480,649380,314350,717980,534230,288010,1539800,3473040,1102660,610770,227090,467930,191210,490210,1056230,358790,1355560,956940,495010,262710,899270,1658070,787340,162300,323540,181670,179960,292930,590640,263630,126220,209850,225010,196730,1026380,160060,386020,387970,382450,157020,386350,1175650
2010年8月,2678190,418490,496320,801700,360470,472100,877710,424810,969120,762650,328070,1986770,3629830,1362010,881400,323760,655640,305100,716060,1762160,509660,2011090,1139870,735730,371260,1094660,1893330,1076800,224260,529600,270180,243830,410990,740050,358530,174400,295640,275440,264270,1138480,197390,534850,547600,537990,233940,515630,1497870
2010年9月,2321500,337920,350320,638950,275240,356660,591670,263380,696010,535320,267940,1455160,3267310,1105050,549790,264330,477920,168040,438300,990930,366410,1200900,903310,440400,253110,976330,1577080,719750,171880,271230,176580,185720,284060,558660,251960,117540,210300,223730,193850,948720,157030,383670,400100,382000,174670,396790,1151040
2010年10月,2107510,377970,421100,689760,327940,403880,738800,272650,774030,618640,285190,1565510,3719450,1246480,676360,299540,557390,186900,401650,1070770,399870,1181070,982450,507420,274950,1103370,1702670,808700,226570,290120,192410,211870,341190,605490,291670,121820,225400,247760,203890,1024460,174830,493450,502400,422530,220310,412950,1058250
2010年11月,1470000,270190,337800,636860,226020,333550,680550,272520,687360,579270,282760,1419690,3562190,1223870,590040,234900,528370,200610,393720,794830,373360,1264460,927660,505870,290580,1187180,1686920,818110,209250,319690,207450,220810,328540,581060,298870,112730,224230,248120,208830,986390,180760,459050,510310,474410,227540,437930,904400
2010年12月,1607620,240740,310890,600090,177530,328260,590060,280500,544390,516520,273090,1486150,3631420,1158970,520870,186730,440110,185770,322890,784840,279520,1228110,916140,465930,223930,967690,1664450,819440,125200,259560,168380,163360,271380,459060,265630,87240,173170,197100,156680,957960,145580,385630,425790,408410,207870,373040,886610
2011年1月,2148210,326290,426960,614400,209490,382080,771950,336940,625310,725740,279740,1395520,3455180,1277590,911670,197190,490250,267490,399950,1789230,402710,1577300,867970,575400,245570,864080,1590490,878690,76990,287340,207450,167570,300290,516150,265110,130050,220060,262160,186970,962150,197750,423690,525240,489630,214050,472080,970770
2011年2月,2320620,337730,434670,652860,237660,438820,777150,343960,596190,730930,290130,1433540,3688600,1312660,958410,220320,519640,277040,417240,1742940,412520,1610410,912910,521530,242150,896240,1599020,886290,82280,294620,226700,175610,302050,525570,286000,132290,237950,280450,205150,1016590,202000,525950,532310,503930,261890,440690,1109440
2011年3月,1832380,235520,293280,468240,147890,342970,530940,247290,447830,474500,285970,959120,2888450,1028060,687520,208890,513820,276490,329220,997130,392790,1224210,1045270,606100,340080,1154050,1976230,991140,140400,352350,233670,215350,409110,644490,339470,160680,294820,337100,257780,1135460,217410,534240,615830,557590,248060,526730,1161280
2011年4月,1270010,267160,501200,761120,169060,322770,809510,351290,422420,439560,250950,619100,2534050,1000970,569480,214470,442740,214730,336220,889500,351480,1126690,944130,495960,372620,1060590,1567130,856680,169790,274120,237430,197810,365480,592200,285630,159880,272600,299690,215190,964930,226050,499310,536840,465960,210840,476400,883510
2011年5月,1961190,371940,614800,956020,287090,414170,1144790,375260,696270,667920,279090,1004120,2980220,1295160,778020,277290,579890,276720,523870,1354940,448900,1477960,1007480,634430,414320,1297090,1643000,988030,233220,343200,272520,265610,412050,684800,331560,173340,313540,393290,260270,1107140,247790,650070,651910,545510,253220,634730,970800
2011年6月,2249470,388250,556770,886690,299560,444430,1097760,360790,635090,629940,266170,1038870,3162650,1240050,732890,237960,513780,252950,429840,1101500,384630,1275700,949950,481170,316330,1127730,1572020,860190,188860,259990,231160,225660,348490,607250,290010,136990,231940,396910,199590,967550,195650,533300,492970,420250,216250,506500,979090
2011年7月,2870520,478570,637340,913210,413950,531260,1149980,370510,821560,832610,287870,1449740,3493340,1432920,981790,314080,533470,326160,861190,1991650,504920,1758830,1053790,651200,366910,1109050,1949110,1070040,185040,424640,292040,254020,387920,691150,324750,154880,267150,392740,246300,1186160,228520,614860,580810,462400,264890,586180,1340030
2011年8月,3401610,591000,793580,986480,572630,676690,1119190,499430,1219890,1244630,366990,2019030,3926290,1875720,1471440,464950,794240,516890,1553230,3529670,717570,2898470,1316140,1063320,573300,1427960,2402970,1472610,277020,761120,425960,339480,558270,879950,431050,214100,420130,464500,404960,1365810,296420,866170,845400,683130,327580,732070,1674690
2011年9月,2888690,449670,563920,863460,392780,479810,859080,350820,792040,813610,295760,1459760,3708500,1438970,821700,354070,607210,288640,687580,1724990,482880,1593860,1043560,583830,349050,1166270,1917850,936720,148050,310120,282520,240580,420060,687590,361470,156040,255070,367820,241330,1151680,213640,581310,659130,493190,255170,613000,1393270
2011年10月,2558220,430160,547400,921640,463660,531040,869660,390220,937650,830420,322540,1535680,3906770,1471510,921940,386580,702180,302460,563470,1707310,560860,1563220,1112720,663150,379550,1379190,1820100,957440,195690,258380,306770,273080,454110,749710,487840,203880,262310,375950,252710,1160100,222620,643410,663640,555570,293240,646940,1353960
2011年11月,1805360,318600,485150,889680,293900,445360,828960,394280,829340,715240,319110,1478360,3731560,1466880,772340,313660,700960,344350,528760,1234950,507060,1646010,1074840,648550,402450,1618270,1821050,990240,200260,264020,315460,257810,407860,717810,422530,198820,277290,328790,247630,1126540,239180,608070,628780,599710,292080,641770,1156440
2011年12月,1987490,287050,451030,874790,233460,420980,839690,430160,672320,643580,321790,1566830,4052720,1490940,757910,265570,578500,309910,438550,1311520,409310,1660220,1078190,644040,308130,1304590,1905670,1004490,130300,265900,272010,199640,382890,589240,349580,142510,212150,272950,213520,1096140,209590,513000,498950,542730,259860,518720,1151810
2012年1月,2109240,250120,489940,730140,199630,380880,787130,332950,565160,614990,252390,1429240,3603450,1252190,802610,211780,513610,260540,381900,1682880,403060,1472990,959380,560520,249850,931380,1635130,925410,86970,266000,208060,154650,301990,516960,265150,108580,218600,280890,179310,976700,184240,407120,465460,434040,270290,464670,906820
2012年2月,2106690,266950,491170,758250,196370,410040,794250,362250,506740,548920,267330,1388950,3744270,1233040,830390,216940,528400,273490,369430,1495950,422220,1441580,954960,508450,245620,899000,1589570,925230,94550,255990,201940,166370,303780,558430,278480,120170,234970,300820,199920,998760,187370,430100,481230,441890,341070,507790,1162780
2012年3月,2014580,276430,546390,882880,237400,440490,860660,470170,681040,659060,319770,1869970,4333750,1543440,807660,230170,604480,312180,541760,1361410,479320,1888680,1174070,714190,344880,1293200,2047080,1092910,182090,373410,240840,204150,432950,746630,357240,162210,368310,361400,289100,1181560,204020,558870,614120,560310,316390,631220,1232560
2012年4月,1511590,274140,441170,753630,238990,353320,807190,408630,650560,571490,302800,1619290,4197890,1414960,611150,242760,536320,257790,538990,972450,440300,1542900,1117020,617960,358880,1497830,2132910,1000260,214760,327430,200230,206450,382270,674320,348050,171930,294510,318770,251140,1067130,206890,538460,565450,482610,267040,542290,1159540
2012年5月,2158760,408730,582630,792770,345700,425410,896770,439770,849750,645560,310880,1668410,4111450,1476660,743910,294690,614160,285190,569130,1247690,477450,1625600,1123110,695920,358160,1523100,1964250,1010120,237470,356090,225170,252830,392260,720740,383880,166480,304070,332680,288190,1143660,218810,644910,676730,513690,310710,638690,1094750
2012年6月,2523240,403040,560090,795690,334240,486200,948580,403740,754550,586450,277740,1546800,3916530,1331850,678950,239550,539510,232410,462560,996990,403990,1367130,1058120,547760,290770,1293550,1768120,896500,162980,269290,186880,213990,325190,621030,326010,130640,244910,280400,208500,1023040,168620,476080,487660,405610,240330,445980,1130170
2012年7月,3019180,428330,560440,843200,296270,538430,882420,422910,877480,739560,314340,1637720,4089570,1349640,969320,350040,617220,309740,751080,1758610,475490,1737980,1112410,698600,407670,1262910,1958670,977000,198270,423320,250560,209400,406020,690360,349720,140560,306130,298080,252410,1157390,203850,528620,522820,471200,296280,553880,1550600
2012年8月,3548000,567640,729380,1014870,423490,653200,1097980,589290,1319680,1148380,406080,2197710,4553530,1788430,1485160,545190,861260,532170,1291900,3335120,724800,2826050,1414720,1104060,608050,1626430,2339780,1398890,299250,711500,392980,297030,593610,947320,490810,210230,447980,385370,420280,1517610,274440,736340,795110,679270,412410,745110,1827290
2012年9月,2836290,444900,531010,860690,302810,469180,873670,374660,871560,700560,285650,1509360,4071560,1382280,832640,354430,624430,262410,645830,1554500,503560,1493720,1116500,618120,341320,1309930,1790280,897340,186730,347140,242710,219200,397800,689560,378560,140170,291630,299650,231690,1120060,195940,517090,581220,494490,261520,549390,1465970
2012年10月,2731560,496330,605110,895860,386380,537220,971690,407820,1006060,760460,332980,1460620,4138500,1454250,875380,384310,631130,256760,526040,1504160,606610,1539400,1138680,768620,334580,1490890,1967140,1010450,215580,314240,233330,257780,391720,718560,402510,167210,277550,325140,284820,1148940,212530,644880,654630,523090,297130,612600,1472340
2012年11月,1921630,392280,520400,894470,293530,454260,890830,448510,937540,737860,341590,1453630,4159970,1516620,781170,309750,648000,295310,534070,1111390,499300,1688920,1127780,769160,383230,1702760,2084680,1107650,210620,337920,261690,264560,405700,732060,385680,175780,317060,336090,266590,1200370,230850,612590,683020,600590,335170,653140,1329200
2012年12月,2111120,337570,459530,820110,205710,410940,774750,436380,742090,672080,325320,1540250,4269410,1491740,784180,239350,525260,258230,407820,1270130,394240,1661560,1129490,731340,294270,1409770,2066010,1111370,141310,300980,219930,180440,333940,604250,325940,126060,244370,278590,216410,1138900,196080,533420,561750,515840,279320,526160,1247340
2013年1月,2098160,278770,408360,865260,205680,348760,733970,339040,623610,666770,284660,1412800,3699160,1215180,784360,212290,510540,196020,335390,1561590,398940,1544080,975400,672430,218820,1111080,1622540,967430,114830,286440,209180,165590,314940,491620,310070,135520,227200,240500,175830,980060,204110,418830,420800,489100,272810,496210,1520700
2013年2月,2278420,274550,412720,920090,209100,390410,712390,357240,581040,655420,282660,1438410,3872930,1221490,823750,237470,568330,216760,339790,1480890,422690,1501310,966930,645000,219330,1180800,1747930,986390,118780,287530,223630,168340,320910,503490,321490,139280,248290,258580,199810,1008650,193050,515940,433160,500900,371690,532520,1768400
2013年3月,2146550,288890,442020,1115510,229200,400500,796780,471180,777110,759240,339280,1844150,4500260,1544140,820710,250680,666630,253670,470480,1360590,477890,2041850,1199250,894360,316420,1655560,2106100,1172890,197250,417680,250530,218270,408550,654150,399330,190950,341320,321260,278420,1193770,231650,606580,553300,616680,353490,673170,2021690
2013年4月,1609610,321820,387850,861520,236530,351570,764620,397370,708870,653680,328200,1595090,4474220,1312060,621800,267030,547070,225060,531290,1179850,460850,1586810,1137110,625270,375790,1838750,2015750,1013480,245250,329410,246910,231920,467500,663270,326670,212510,295240,274440,219620,1065460,213090,550120,634330,509550,260500,564560,1534660
2013年5月,2296480,452380,461870,907970,324050,448020,820800,427890,861330,742980,319840,1675890,4363570,1346650,728540,321430,617360,277260,597490,1494500,507980,1628290,1190220,714030,369440,1976900,1879930,1052270,267460,341320,303610,294530,488680,717040,369880,209510,298100,305040,247510,1190240,225360,671550,724820,561450,292510,667600,1422690
2013年6月,2687180,409840,434590,879690,315640,471320,834060,362640,788190,661170,296400,1546970,4185930,1213070,663910,275490,526380,244020,484440,1262020,441030,1379480,1099310,591050,294820,1742890,1776460,941230,196890,275790,254000,271360,415620,597000,322620,163840,233820,234090,178470,1014210,173590,476500,472580,438740,242410,510590,1464420
2013年7月,3479390,456390,489950,879300,330880,511530,1040910,426530,824590,787120,372130,1871690,4507610,1404260,888090,352580,614480,300100,740840,1759420,513640,1696570,1254770,872510,367210,1639300,2009390,1137080,191230,426230,307280,312820,440010,662850,364940,188780,289510,314740,242000,1214780,225410,635580,560000,559060,310150,603490,1968780
2013年8月,4001680,577860,666250,1116480,444530,690240,1348460,610870,1195820,1162180,445240,2384130,4987750,1870730,1276440,496510,878700,491100,1235110,2994440,740760,2823670,1591620,1278830,561260,2000750,2381500,1588830,283010,677400,435550,384280,611680,887560,489500,272820,461990,414940,396820,1551880,287680,939500,862980,740340,428350,795400,2366790
2013年9月,3199070,453150,477540,934060,327940,455850,1044430,415490,800720,752280,326750,1699320,4381870,1411220,775330,382600,631630,257410,649050,1561160,510500,1555080,1216130,797020,345960,1651500,1930570,1022380,180660,347800,311380,310930,475470,698510,347230,191890,283040,297790,249810,1161780,220750,560050,601620,531060,270600,603020,1885840
2013年10月,2836240,502430,516350,975510,359370,505480,942330,428310,918920,788250,328930,1611350,4653190,1381800,836600,398250,653670,241360,542890,1546190,574480,1564560,1332780,849960,326270,1778310,2091680,1033200,248020,318140,343060,328130,451220,733110,382000,185640,319460,321490,259390,1168170,226580,635320,615100,575500,284890,620410,1713580
2013年11月,2100760,398860,469830,973510,284340,433990,903780,457290,914220,790670,332480,1635810,4592290,1483640,736450,348840,677980,283390,567300,1235000,553640,1822880,1376150,932560,381130,1982730,2147160,1148620,258210,391440,367900,331750,454130,742680,400720,201260,331050,346580,245410,1241740,236190,659710,644950,642590,344750,695010,1572720
2013年12月,2236940,344810,423390,906090,225840,423030,805800,460320,722720,718750,317690,1682980,4605270,1436590,721000,278200,557160,264790,434720,1314910,440090,1778760,1313560,813420,298160,1528940,2172420,1162290,178630,342440,287260,256190,367950,591020,344640,164720,256170,269570,180620,1195840,199730,585000,533970,546110,283900,560570,1549340
2014年1月,2341600,277230,451260,716050,226180,412490,762040,387250,627970,628040,288890,1539370,3900860,1359650,731010,207410,492930,245940,403750,1608390,427610,1502660,1128270,693590,276190,1082180,2051700,1037140,116460,295330,211090,211110,339240,573280,281640,156770,214860,241740,172900,1085460,207020,469980,493350,486440,250610,528660,1303530
2014年2月,2415450,262240,435350,697680,213990,453510,707310,390510,530510,533860,291390,1496360,3981980,1321470,681280,212540,495800,258970,310490,1368630,393940,1397810,1130110,620320,255340,1090930,1941200,974840,116510,268870,197810,198740,331010,571980,283290,165050,205300,245460,171690,1075190,207920,543750,484290,479990,322680,536650,1477100
2014年3月,2322660,284030,476230,869980,247170,468420,825130,557410,794790,733990,366730,1946020,4653050,1719840,787120,263360,617860,315030,564980,1484950,475330,2022530,1428270,895150,395390,1512400,2464230,1283930,207220,411580,246000,281950,467560,748320,370750,232970,306080,337170,268140,1293840,260150,658690,627710,621230,317400,685220,1779720
2014年4月,1645060,305570,392860,761330,252500,328380,770150,385300,612990,602970,345150,1731850,4695550,1545600,604210,252600,545870,258590,583930,1078180,512140,1574390,1222820,621830,413280,1525250,2389100,1008350,217210,336250,227950,237690,433850,703100,356870,228150,257600,278810,234230,1144310,217850,534410,539910,460930,251400,558070,1521190
2014年5月,2527300,419180,499610,833220,360310,437740,861950,481450,815560,734850,355680,1759160,4569980,1588350,774600,307450,655220,318460,650040,1436630,559460,1668760,1269710,730140,420290,1582230,2309080,1106450,246140,386520,277380,292270,474070,783930,411690,248150,286070,318170,282260,1347400,248870,681240,620770,514570,312040,688040,1449320
2014年6月,2606660,388040,434570,824600,353830,488480,873230,422770,729840,630950,308210,1589210,4216710,1419330,705570,248320,546310,266220,521080,1098700,439520,1339310,1162280,591770,330790,1295650,2126560,960920,174150,286160,226310,242090,399780,646040,339790,190060,231280,266700,202730,1109900,178950,490500,472250,416440,281320,538860,1530270
2014年7月,3308490,444250,506190,920450,347080,549460,1009930,485360,874700,696100,342380,1876830,4712490,1661590,890510,299020,591830,352750,802550,1669140,475450,1788230,1310030,727350,396750,1278090,2394920,1183700,179600,419860,242480,269260,458810,735710,372160,283580,311830,315120,263150,1302380,222120,567610,530670,454470,270960,621140,2056690
2014年8月,3633000,543790,678130,1118000,443450,744690,1325520,642500,1248110,1095090,421840,2341830,5080780,2076310,1334870,430680,940640,533980,1363330,2824260,736300,2812880,1537360,1051270,611650,1582500,2763960,1601560,270890,646900,360510,351890,586020,938560,477190,355540,448480,394350,379310,1492640,276510,786490,776880,627610,378100,806790,2356080
2014年9月,2993090,458170,524840,921950,350350,557370,975290,402830,846500,694520,329630,1630920,4373580,1591190,789850,334030,598990,302860,709880,1512680,505110,1626970,1242520,631520,365300,1336320,2329310,1106880,178910,340530,248280,284110,445130,733780,371570,269630,295630,299330,263570,1210080,213830,567200,566000,476130,260680,645370,1951070
2014年10月,2725630,490230,569540,894480,411490,580630,1076290,425090,922860,769840,356720,1757360,4775330,1621840,854730,355720,764130,293980,596370,1430490,556410,1652770,1293010,727470,382920,1549540,2504280,1098810,205110,320750,269200,293490,500890,739020,418500,251050,299010,313500,234810,1369800,278950,706270,597270,492980,272610,632900,1637500
2014年11月,2130200,348510,478330,891600,313160,459810,986100,446320,884030,781440,364030,1746780,4584190,1694590,741660,314320,708210,344140,601430,1149070,545820,1859390,1345090,798560,430450,1692940,2513680,1229120,212700,390470,296630,310420,525440,765460,431560,260460,343810,324860,247800,1418270,283390,706390,647080,583160,302960,711530,1532820
2014年12月,2329930,290020,442080,810440,241900,417550,887880,435990,694490,691720,339230,1785570,4714310,1601020,711930,263720,585370,299540,462560,1236070,471580,1776870,1325960,705400,350380,1458730,2581250,1167520,145270,353170,239360,246180,425860,632950,374320,227740,262770,257130,183780,1382890,242450,602480,512970,487240,261110,581270,1546770
2015年1月,2393470,287490,457600,733490,206700,429890,858360,383330,661230,673900,331180,1706760,4379130,1453010,850720,215440,515440,299140,473410,1626210,456700,1532110,1209360,661270,326490,1027010,2157410,999010,107510,311710,228530,204980,338860,613480,318190,140120,242150,261140,177460,1117240,214070,551460,475750,561650,263780,595650,1374370
2015年2月,2600850,295480,428220,727350,211420,453030,812110,391170,593150,634020,317690,1699420,4466480,1476500,849620,225240,560160,312550,481990,1527960,481260,1516610,1227640,605800,325890,1097800,2154350,995410,118040,314470,222030,206270,335120,630300,326130,142880,260010,272660,198070,1157760,225730,637780,470810,551000,339370,615800,1514520
2015年3月,2344590,314860,465380,886640,219750,484210,906350,518350,807720,725440,384190,2116330,5162770,1835530,856490,266800,712410,348520,688760,1477890,577930,2007850,1447790,827280,437620,1476230,2644100,1226200,195550,437430,271630,286490,478910,841670,414290,207280,366400,347580,260800,1331180,268270,821010,589900,672510,333270,742730,1746200
2015年4月,1765940,334630,432500,779300,227720,378220,832270,402060,724450,576060,345350,1802520,4966980,1616700,605720,307510,650770,272370,605690,1135240,526160,1671740,1373010,661030,460910,1526500,2496970,1091360,218980,347410,208340,259720,407140,751770,367580,193630,308170,298340,202210,1238170,247660,654910,540500,609530,257790,580490,1586950
2015年5月,2585220,452100,531290,899620,340860,490400,933630,466930,902070,730970,377550,1983470,5090680,1576420,789230,372010,741930,340680,724220,1592320,579040,1869660,1391230,766500,494550,1688100,2444000,1188760,273380,393090,254230,317070,442050,854620,440250,222600,358130,321440,262140,1415240,265110,793450,659700,656460,334400,717960,1618410
2015年6月,2755130,408530,471430,864950,287040,454400,890860,411090,745960,615930,316820,1732880,4655550,1393950,704810,290060,681790,287870,608430,1120710,439720,1548450,1297490,573550,412050,1450420,2301480,1018760,188760,298710,210960,265000,377520,729100,361260,165600,273440,245850,183870,1201690,204740,599290,474620,500790,262550,545090,1624940
2015年7月,3480910,487990,535560,973970,340790,544180,1009720,515050,964540,737320,378500,1961510,5149480,1493190,949520,361310,761520,372050,856090,1804120,567950,2052400,1469270,824040,485960,1571880,2664700,1260420,241230,431780,229570,282640,447650,796140,380480,204950,369250,327520,235310,1398980,250910,684210,579330,570630,307110,641190,1853990
2015年8月,3772580,599420,684030,1129900,424700,707640,1265760,715230,1349600,1078110,457310,2325440,5439970,1878940,1367910,536760,982910,578350,1288540,3040530,806940,2885520,1650110,1158950,661110,1817090,2979290,1618570,374710,622530,360000,387960,572340,1003580,500860,295600,516490,408460,381870,1648840,300520,911620,829250,749660,436890,828100,2096070
2015年9月,3161160,518900,556930,1003090,335680,550400,1035630,479050,935420,752320,356110,1821170,4855280,1526160,859860,405910,806250,340030,784050,1770760,598820,1867410,1408520,791500,447300,1590960,2592840,1160860,240030,399810,245630,304800,481960,832120,413610,200460,383470,334940,253010,1402140,266470,731890,666490,614650,322860,694870,1924060
2015年10月,2992960,548970,619590,998180,383290,577980,1071150,475370,1004090,852680,375310,1837950,5085520,1592000,906240,410160,833330,326460,711290,1599770,636820,1858060,1406090,871280,465560,1737770,2706990,1201980,223390,446630,272530,317010,475580,866420,497040,203070,348260,344680,249300,1435570,280840,796520,653470,632520,322520,688990,1757520
2015年11月,2183590,413870,518210,941420,269980,474040,988870,480220,860620,766980,350730,1764770,4790970,1589300,769240,342240,799340,366080,650930,1190290,576760,1879750,1377820,881200,474160,1728160,2533850,1217740,228690,393830,272290,327140,431660,811980,434920,186280,357370,340090,234690,1398610,278530,788490,627930,675260,314910,689060,1512250
2015年12月,2554670,344240,455530,882780,209310,428890,868700,503080,740000,684370,340000,1821300,5045110,1634270,750600,257480,683680,319830,552480,1327590,529920,1840560,1363870,836410,401640,1543110,2690100,1184840,142310,338990,218560,258380,375090,690200,392570,152440,293440,270860,181130,1397770,249360,701810,562810,593620,296560,632800,1454450
2016年1月,2724880,312390,492670,710840,201960,393130,784470,385570,627390,668650,335610,1587610,4358970,1359160,854860,207250,592260,265580,441310,1558710,456770,1550850,1255210,660660,285650,1127080,2307820,995440,118710,315620,203810,219120,353700,628340,317160,148310,230860,247320,166320,1269110,221660,536560,542270,524330,269820,532650,1472810
2016年2月,2850160,341410,483410,733430,203080,439170,781960,389810,571410,652820,324180,1615220,4412480,1399140,864960,229470,657190,285280,446610,1401580,475460,1616410,1239630,639130,307120,1195540,2319240,1075730,128230,306240,214810,221260,366330,657930,340670,150510,256830,281990,186340,1328390,225710,636440,546630,548560,336570,567620,1523340
2016年3月,2461730,346700,492520,860360,243210,433250,828640,528310,875250,738930,388500,1999970,5018600,1695310,826490,246870,745430,315130,652150,1327170,544590,1987280,1489520,814510,406050,1513880,2664410,1222490,204620,436530,264710,262820,467180,815590,404400,200040,353130,365110,273950,1486450,265160,724970,640500,666330,329590,665930,1683950
2016年4月,1967450,370910,452070,784160,249880,368260,786570,445830,737370,614190,355930,1781990,5018950,1531600,672560,280230,690100,252850,656950,1174860,542780,1691540,1405110,698650,430240,1560910,2559480,1115680,233840,356360,227260,276390,462000,812970,364710,191030,315600,340860,229510,1354060,244740,541480,508980,416900,242920,477740,1535750
2016年5月,2580950,443470,508680,794170,312380,434490,791350,461360,876400,695800,349820,1779760,4778220,1522880,745660,327570,755680,286150,692520,1358800,545370,1690420,1339860,824340,426310,1601280,2417270,1125970,252870,369070,247820,299470,470120,818260,404850,208970,313140,366840,261650,1391360,248500,549630,589750,397720,271590,571100,1556890
2016年6月,2848940,433360,494780,791380,309230,447440,808250,412670,769030,594110,332680,1629280,4584320,1374030,706490,236050,642090,246990,545040,1094370,444160,1447790,1322540,613620,346880,1473600,2378740,975810,196160,305720,209680,269010,404360,744410,322810,171770,247920,286310,184900,1295260,217860,452880,537080,394100,236670,486150,1628840
